Block_Location
900 DELAWARE ST
2100 CHANNING WY
1300 HOPKINS ST
MARTIN LUTHER KING JR WY &amp; CENTER ST
1700 FIFTH ST
1300 SAN PABLO AVE
600 CEDAR ST
1100 SIXTH ST
1100 HEARST AVE
1400 SCENIC AVE
2000 ADDISON ST
1500 HARMON ST
1800 UNIVERSITY AVE
2600 FULTON ST
HILLSIDE AV &amp; DWIGHT WY
2400 PIEDMONT AVE
2400 DURANT AVE
3000 BENVENUE AVE
1400 SIXTY-SEVENTH ST
2000 DURANT AVE
200 UNIVERSITY AVE
PRINCE STREET &amp; ACTON ST
2300 WARRING ST
1500 BUENA AVE
1400 UNIVERSITY AVE
1400 SHATTUCK AVE
2100 SHATTUCK AVE
CENTER STREET &amp; OXFORD ST
600 CEDAR ST
2900 CHANNING WAY
RUSSELL STREET &amp; GRANT ST
1100 OXFORD ST
1700 ADDISON ST
400 GILMAN ST
1400 HAWTHORNE TER
KING STREET &amp; ASHBY AV
2100 MARTIN LUTHER KING JR WY
1200 SECOND ST
KITTREDGE STREET &amp; HAROLD WY
2100 CHANNING WAY
2500 HILLEGASS AVE
2400 BANCROFT WAY
1900 CURTIS ST
2000 UNIVERSITY AVE
3100 SAN PABLO AVE
1100 EUCLID AVE
2000 KITTREDGE ST
1800 ALCATRAZ AVE
2400 CURTIS ST
1400 DERBY ST
1300 SECOND ST
2700 DERBY ST
2700 HASTE ST
2400 DURANT AVE
CHERRY STREET &amp; STUART ST
2600 DURANT AVE
2200 SHATTUCK AVE
SHATTUCK AV &amp; UNIVERSITY AV
2300 FULTON ST
3100 M L KING JR WAY
800 UNIVERSITY AVE
2500 DURANT AV
1800 DWIGHT WAY
FAIRVIEW STREET &amp; ADELINE ST
1600 BONITA AVE
UNIVERSITY AV &amp; GRANT ST
DWIGHT WY &amp; TELEGRAPH AV
800 UNIVERSITY AVE
HEARST AV &amp; 5TH ST
1200 CORNELL AVE
2400 PRINCE ST
2500 DURANT AVE
"Berkeley, CA"
2600 SHASTA RD
DWIGHT WY &amp; SHATTUCK AV
1500 ALCATRAZ AVE
2200 CEDAR ST
2100 MARTIN LUTHER KING JR WY
1800 BONITA AVE
2100 WARD ST
1700 LA LOMA AVE
700 ALLSTON WY
600 VINCENTE AVE
2600 ELLSWORTH ST
900 UNIVERSITY AVE
1100 PARKER ST
2000 OREGON ST
2300 BOWDITCH ST
1400 OXFORD ST
"Berkeley, CA"
3200 ADELINE ST
5TH STREET &amp; ALLSTON WY
2500 DURANT AV
2400 LE CONTE AVE
1988 MARTIN LUTHER KING JR WAY 315
PARKER STREET &amp; COLLEGE AV
1100 FRANCISCO ST
2300 PRINCE ST
COLLEGE AV &amp; RUSSELL ST
2600 TELEGRAPH AVE
1800 SAN PABLO AVE
2600 HILLEGASS AVE
GRAYSON STREET &amp; 7TH ST
1200 ASHBY AVE
2200 SHATTUCK AVE
2600 DURANT AVE
2600 COLLEGE AVE
1900 UNIVERSITY AVE
1300 SPRUCE ST
1800 ALCATRAZ AVE
TELEGRAPH AV &amp; DURANT AV
2700 GRANT ST
200 UNIVERSITY AVE
1000 VIRGINIA ST
2700 PARK ST
1400 ALCATRAZ AVE
SAN PABLO AV &amp; HARRISON ST
1500 SAN PABLO AVE
2200 SHATTUCK AVE
2800 SHATTUCK AVE
2700 BUENA VISTA WAY
1300 GILMAN ST
1600 SHATTUCK AVE
1300 TENTH ST
2400 ASHBY AVE
PIEDMONT AV &amp; BANCROFT WY
1200 ASHBY AVE
2800 ADELINE ST
